schedule_season,team,regular_season_mean_score,playoff_mean_score,regular_season_z_score,playoff_z_score
1981,Los Angeles Chargers,29.88,24.0,2.5934974951928815,-0.09973672117578994
1981,Los Angeles Rams,18.94,,-0.4884753981906908,
1981,Miami Dolphins,21.56,38.0,0.2496204866964164,1.2965773752852692
1981,Minnesota Vikings,20.31,,-0.1025244965512496,
1981,New England Patriots,20.12,,-0.1560505340048942,
1981,New Orleans Saints,12.94,,-2.1787713177794883,
1981,New York Giants,18.44,25.5,-0.6293333914897572,0.04986836058789497
1981,New York Jets,22.19,27.0,0.4271015582532408,0.19947344235157988
1981,Philadelphia Eagles,23.0,21.0,0.655291507397728,-0.39894688470315975
1981,Pittsburgh Steelers,22.25,,0.4440045174491284,
1981,San Francisco 49ers,22.31,30.67,0.460907476645016,0.5655072090667291
1981,Seattle Seahawks,20.12,,-0.1560505340048942,
1981,Tampa Bay Buccaneers,19.69,0.0,-0.27718840824209123,-2.4934180293947485
1981,Tennessee Titans,17.56,,-0.8772434596961148,
1981,Washington Commanders,21.69,,0.2862435649541744,
1982,Arizona Cardinals,15.0,16.0,-1.0518444725323446,-0.6151187512394988
1982,Atlanta Falcons,20.33,24.0,0.034879439414537056,0.5164592907072656
1982,Buffalo Bills,16.67,,-0.7113512393332274,
1982,Chicago Bears,15.67,,-0.9152394029255134,
1982,Cincinnati Bengals,25.78,17.0,1.146069930992494,-0.47367149599615327
1982,Cleveland Browns,15.56,10.0,-0.9376671009206646,-1.463802282699572
1982,Dallas Cowboys,25.11,28.0,1.0094648613856623,1.0822483116806478
1982,Denver Broncos,16.44,,-0.7582455169594532,
1982,Detroit Lions,20.11,7.0,-0.009975956575765537,-1.8881440484296088
1982,Green Bay Packers,25.11,33.5,1.0094648613856623,1.8602082155190482
1982,Indianapolis Colts,12.56,,-1.5493315916975214,
1982,Kansas City Chiefs,19.56,,-0.12211444655152275,
1982,Las Vegas Raiders,28.89,20.5,1.780162119764502,0.021393897355556156
1982,Los Angeles Chargers,32.0,22.0,2.41425430853651,0.23356478022057447
1982,Los Angeles Rams,22.22,,0.4202280686039569,
